citing,cited
366256,8462054
366256,10215369
366256,3781510
366256,3782127
366256,8461868
366256,8461982
366256,8462065
366256,8462201
366349,3781512
366349,8462138
366349,8462014
366349,8462032
366349,8462238
366349,3781806
366349,7640818
366349,8462034
366349,8462161
366349,8461913
366349,8461978
366349,8462346
366349,8462158
366349,3781881
366349,3781496
366349,3781559
366349,8462339
366349,8462017
366349,8462143
366349,8462200
366349,3781344
366349,3781488
366349,8461921
366349,8461871
366349,8462022
366349,8462309
366349,8461857
366349,8462157
366349,8462054
366349,10215369
366349,3781510
366349,3782127
366349,8461868
366349,8461982
366349,8462065
366349,8462201
366349,366387
366283,3781512
366283,8462138
366283,8462014
366283,8462032
366283,8462238
366283,3781806
366283,7640818
366283,8462034
366283,8462161
366283,8461913
366283,8461978
366283,8462346
366283,8462158
366283,3781881
366283,3781496
366283,3781559
366283,8462339
366283,8462017
366283,8462143
366283,8462200
366283,3781344
366283,3781488
366283,8461921
366283,8461871
366283,8462022
366283,8462309
366283,8461857
366283,8462157
366283,8462054
366283,10215369
366283,3781510
366283,3782127
366283,8461868
366283,8461982
366283,8462065
366283,8462201
366351,3781512
366351,8462138
366351,8462014
366351,8462032
366351,8462238
366351,3781806
366351,7640818
366351,8462034
366351,8462161
366351,8461913
366351,8461978
366351,8462346
366351,8462158
366351,3781881
366351,3781496
366351,3781559
366351,8462339
366351,8462017
366351,8462143
366351,8462200
366351,3781344
366351,3781488
366351,8461921
366351,8461871
366351,8462022
366351,8462309
366351,8461857
366351,8462157
366351,8462054
366351,10215369
366351,3781510
366351,3782127
366351,8461868
366351,8461982
366351,8462065
366351,8462201
366431,3781512
366431,8462138
366431,8462014
366431,8462032
366431,8462238
366431,3781806
366431,7640818
366431,8462034
366431,8462161
366431,8461913
366431,8461978
366431,8462346
366431,8462158
366431,3781881
366431,3781496
366431,3781559
366431,8462339
366431,8462017
366431,8462143
366431,8462200
366431,3781344
366431,3781488
366431,8461921
366431,8461871
366431,8462022
366431,8462309
366431,8461857
366431,8462157
366431,8462054
366431,10215369
366431,3781510
366431,3782127
366431,8461868
366431,8461982
366431,8462065
366431,8462201
366324,3781512
366324,8462138
366324,8462014
366324,8462032
366324,8462238
366324,3781806
366324,7640818
366324,8462034
366324,8462161
366324,8461913
366324,8461978
366324,8462346
366324,8462158
366324,3781881
366324,3781496
366324,3781559
366324,8462339
366324,8462017
366324,8462143
366324,8462200
366324,3781344
366324,3781488
366324,8461921
366324,8461871
366324,8462022
366324,8462309
366324,8461857
366324,8462157
366324,8462054
366324,10215369
366324,3781510
366324,3782127
366324,8461868
366324,8461982
366324,8462065
366324,8462201
366396,3781512
366396,8462138
366396,8462014
366396,8462032
366396,8462238
366396,3781806
366396,7640818
366396,8462034
366396,8462161
366396,8461913
366396,8461978
366396,8462346
366396,8462158
366396,3781881
366396,3781496
366396,3781559
366396,8462339
366396,8462017
366396,8462143
366396,8462200
366396,3781344
366396,3781488
366396,8461921
366396,8461871
366396,8462022
366396,8462309
366396,8461857
366396,8462157
366396,8462054
366396,10215369
366396,3781510
366396,3782127
366396,8461868
366396,8461982
366396,8462065
366396,8462201
366376,3781512
366376,8462138
366376,8462014
366376,8462032
366376,8462238
366376,3781806
366376,7640818
366376,8462034
366376,8462161
366376,8461913
366376,8461978
366376,8462346
366376,8462158
366376,3781881
366376,3781496
366376,3781559
366376,8462339
366376,8462017
366376,8462143
366376,8462200
366376,3781344
366376,3781488
366376,8461921
366376,8461871
366376,8462022
366376,8462309
366376,8461857
366376,8462157
366376,8462054
366376,10215369
366376,3781510
366376,3782127
366376,8461868
366376,8461982
366376,8462065
366376,8462201
366228,3781512
366228,8462138
366228,8462014
366228,8462032
366228,8462238
366228,3781806
366228,7640818
366228,8462034
366228,8462161
366228,8461913
366228,8461978
366228,8462346
366228,8462158
366228,3781881
366228,3781496
366228,3781559
366228,8462339
366228,8462017
366228,8462143
366228,8462200
366228,3781344
366228,3781488
366228,8461921
366228,8461871
366228,8462022
366228,8462309
366228,8461857
366228,8462157
366228,8462054
366228,10215369
366228,3781510
366228,3782127
366228,8461868
366228,8461982
366228,8462065
366228,8462201
366406,3781512
366406,8462138
366406,8462014
366406,8462032
366406,8462238
366406,3781806
366406,7640818
366406,8462034
366406,8462161
366406,8461913
366406,8461978
366406,8462346
366406,8462158
366406,3781881
366406,3781496
366406,3781559
366406,8462339
366406,8462017
366406,8462143
366406,8462200
366406,3781344
366406,3781488
366406,8461921
366406,8461871
366406,8462022
366406,8462309
366406,8461857
366406,8462157
366406,8462054
366406,10215369
366406,3781510
366406,3782127
366406,8461868
366406,8461982
366406,8462065
366406,8462201
366271,366275
366271,366349
366271,366283
366271,366341
366271,366256
366271,3781512
366271,8462138
366271,8462014
366271,8462032
366271,8462238
366271,3781806
366271,7640818
366271,8462034
366271,8462161
366271,8461913
366271,8461978
366271,8462346
366271,8462158
366271,3781881
366271,3781496
366271,3781559
366271,8462339
366271,8462017
366271,8462143
366271,8462200
366271,3781344
366271,3781488
366271,8461921
366271,8461871
366271,8462022
366271,8462309
366271,8461857
366271,8462157
366271,8462054
366271,10215369
366271,3781510
366271,3782127
366271,8461868
366271,8461982
366271,8462065
366271,8462201
366327,366283
366327,366341
366327,366256
366327,3781512
366327,8462138
366327,8462014
366327,8462032
366327,8462238
366327,3781806
366327,7640818
366327,8462034
366327,8462161
366327,8461913
366327,8461978
366327,8462346
366327,8462158
366327,3781881
366327,3781496
366327,3781559
366327,8462339
366327,8462017
366327,8462143
366327,8462200
366327,3781344
366327,3781488
366327,8461921
366327,8461871
366327,8462022
366327,8462309
366327,8461857
366327,8462157
366327,8462054
366327,10215369
366327,3781510
366327,3782127
366327,8461868
366327,8461982
366327,8462065
366327,8462201
366285,3781512
366285,8462138
366285,8462014
366285,8462032
366285,8462238
366285,3781806
366285,7640818
366285,8462034
366285,8462161
366285,8461913
366285,8461978
366285,8462346
366285,8462158
366285,3781881
366285,3781496
366285,3781559
366285,8462339
366285,8462017
366285,8462143
366285,8462200
366285,3781344
366285,3781488
366285,8461921
366285,8461871
366285,8462022
366285,8462309
366285,8461857
366285,8462157
366285,8462054
366285,10215369
366285,3781510
366285,3782127
366285,8461868
366285,8461982
366285,8462065
366285,8462201
8461913,3781512
8461913,3781806
8462143,3781806
8461978,3781512
8461978,3781806
8462017,3781806
8462017,3781512
8461871,3781344
8461921,3781559
8461921,3781344
8461921,3781881
